student_ID,birthday,color,num_of_grapes,num_of_skittles,dream_min,youtube,dino,poptart
1,11-Dec,pink,5,12,10,35:00,2,sandwich
3,24-Nov,black,8,243,17,2:43,4,neither
4,2-Feb,navy,6,327,17,22:00,1,neither
9,14-May,sage green,8,133,40,20,5,ravioli
9,28-Feb,black,8,963,20,14,1,neither
6,8-Feb,black,20,262,60,27,4,neither
4,4-Nov,red,11,356,180,20,4,neither
7,9-Mar,black,5,256,180,10,2,neither
2,20-Sep,blue,15,510,45,10,5,ravioli
0,28-Mar,black,12,"10,000",60,7,3,neither
8,21-Jan,black,10,350,1440,3,5,neither
4,5-Jan,black,5,325,480,30,4,ravioli
9,24-Mar,green,5,264,15,5,4,neither
8,18-Apr,brown,10,550,60,10,2,neither
8,15-Apr,blue,7,375,15,4,3,neither
2,3-Mar,gray,3,2,5,30,1,ravioli
9,16-Sep,purple,12,120,20,10,4,neither
7,17-Jan,light brown,6,232,15,6,1,neither
